ФИО,Диссертационный совет,Название диссертации,Дата защиты диссертации,Специальность,1 Научный руководитель (консультант),2 Научный руководитель (консультант),Год защиты,Искомая степень,Информация о лишении степени,Примечания
Кривохатько Антон Александрович,07.2.002.02 (Д 215.002.02),"Судебно–медицинская экспертиза повреждений, возникающих при сексуальном насилии в отношении детей женского пола",21.03.2022,14.03.05 – судебная медицина,Теньков Александр Афанасьевич,–,2022,кандидат медицинских наук,,
Лаврукова Ольга Сергеевна,07.2.002.02 (Д 215.002.02),Комплексная микробно–зоологическая характеристика постмортального периода при производстве судебно–медицинской экспертизы,21.03.2022,14.03.05 – судебная медицина,Толмачев Игорь Анатольевич,–,2022,доктор медицинских наук,,
Мокренко Евгений Владимирович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Молекулярная фармакология иммуномодуляторов при воспалении,22.03.2022,"3.3.6. Фармакология, клиническая фармакология",Шабанов Петр Дмитриевич,–,2022,,,
Чеботарь Антон Викторович,07.2.002.06 (Д 215.002.14),Диагностика и профилактика инфекционных осложнений острого панкреатита,04.04.2022,3.1.9. Хирургия,Лазуткин Максим Витальевич,–,2022,,,
Карабак Ирина Александровна,07.2.002.02 (Д 215.002.02),Иммуноморфологическая характеристика фиброгенеза в печени при естественном течении хронического гепатита С,11.04.2022,3.3.2. Патологическая анатомия,Карев Вадим Евгеньевич,–,2022,кандидат медицинских наук,,
Константинов Алексей Сергеевич,07.2.002.02 (Д 215.002.02),Прогнозирование отдалённых метастазов при локализованных формах колоректального рака,11.04.2022,3.3.2. Патологическая анатомия,Шелехова Ксения Владимировна,–,2022,кандидат медицинских наук,,
Алексеева Екатерина Олеговна,07.2.002.05 (Д 215.002.09),Клиническое обоснование комплекса мероприятий профилактики стоматологических заболеваний у детей с нарушениями психического здоровья,18.04.2022,3.1.7. Стоматология,Ковалевский Александр Мечиславович,–,2022,кандидат медицинских наук,,
Шелиховская Мария Алексеевна,07.2.002.05 (Д 215.002.09),Хирургическое лечение дефектов перегородки носа с применением аллогенных трансплантационных материалов,18.04.2022,3.1.3. Оториноларингология,Сыроежкин Фёдор Анатольевич,–,2022,кандидат медицинских наук,,
Скороход Ксения Владимировна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Влияние ингаляционных анестетиков на функцию печени больных с токсическими и вирусными гепатитами при торакальных операциях во фтизиатрии,19.04.2022,3.1.12. Анестезиология и реаниматология,Волчков Владимир Анатольевич,–,2022,кандидат медицинских наук,,
Партави Мухиддин Самадзода,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),"Особенности течения и лечения бронхиальной астмы, сочетающейся с гипертонической болезнью",19.04.2022,3.1.29. Пульмонология,Емельянов Александр Викторович,–,2022,кандидат медицинских наук,,
Садовой Сергей Валериевич,07.2.002.06 (Д 215.002.14),"Хирургическое лечение массивной тромбоэмболии лёгочной артерии: показания, хирургическая техника, хирургическая профилактика, отдаленные результаты",16.05.2022,3.1.15. Сердечно–сосудистая хирургия,Хубулава Геннадий Григорьевич,–,2022,кандидат медицинских наук,,
Кириченко Олег Анатольевич,07.2.002.06 (Д 215.002.14),Осложнения радикальной цистэктомии,16.05.2022,3.1.13. Урология и андрология,Комяков Борис Кириллович,Матвеев Всеволод Борисович,2022,кандидат медицинских наук,,
Ковалев Глеб Валерьевич,07.2.002.02 (Д 215.002.02),Анатомическое обоснование эффективной и безопасной имплантации трансобтураторного субуретрального слинга при стрессовом недержании мочи у женщин,16.05.2022,"3.3.1. Анатомия человека, 3.1.13. Урология и андрология",Гайворонский Иван Васильевич,Шкарупа Дмитрий Дмитриевич,2022,кандидат медицинских наук,,
Садыков Аслан Игоревич,07.2.002.02 (Д 215.002.02),Клинико–морфологические и дифференциально–диагностические особенности красного плоского лишая и лихеноидной реакции кожи,16.05.2022,3.3.2. Патологическая анатомия; 3.1.23. Дерматовенерология,Сыдиков Акмал Абдикахарович,Засланский Денис Владимирович,2022,кандидат медицинских наук,,
Патрушев Александр Владимирович,07.2.002.01 (Д 215.002.01),"Иммуновоспалительные дерматозы: особенности патогенеза и терапии, связанные с влиянием очагов хронической инфекции",23.05.2022,3.1.23. Дерматовенерология,Самцов Алексей Викторович,–,2022,доктор медицинских наук,,
Черняева Екатерина Валерьевна,07.2.002.01 (Д 215.002.01),Терапевтическая эффективность ингибитора интерлейкина–17А нетакимаба в лечении бляшечного псориаза,23.05.2022,3.1.23. Дерматовенерология,Хайрутдинов Владислав Ринатович,–,2022,кандидат медицинских наук,,
Харчилава Майя Гиоргиевна,07.2.002.01 (Д 215.002.01),Фракционный фототермолиз в терапии кольцевидной гранулемы,23.05.2022,3.1.23. Дерматовенерология 3.3.2. Патологическая анатомия,Хайрутдинов Владислав Ринатович,Белоусова Ирена Эдуардовна,2022,кандидат медицинских наук,,
Тихоновская Ирина Александровна,07.2.002.05 (Д 215.002.09),Варианты периметрии с удвоением пространственной частоты в диагностике некоторых оптиконейропатий,27.05.2022,3.1.5. Офтальмология,Симакова Ирина Леонидовна,–,2022,кандидат медицинских наук,,
Бурнашева Мария Андреевна,07.2.002.05 (Д 215.002.09),Глубокая ретинальная ишемия в диагностике и прогнозировании сосудистой патологии,27.05.2022,3.1.5. Офтальмология,Мальцев Дмитрий Сергеевич,–,2022,кандидат медицинских наук,,
Кажанов Игорь Владимирович,07.2.002.06 (Д 215.002.14),Диагностика и хирургическое лечение сочетанных повреждений таза в условиях травматологического центра первого уровня,06.06.2022,"3.1.9. Хирургия, 3.1.8. Травматология и ортопедия",Мануковский Вадим Анатольевич,Самохвалов Игорь Маркеллович,2022,доктор медицинских наук,,
Харакозов Александр Сергеевич,07.2.002.05 (Д 215.002.09),Влияние пандемии COVID–19 на ведение пациентов с влажной формой возрастной макулярной дегенерации,27.06.2022,3.1.5. Офтальмология,Куликов Алексей Николаевич,–,2022,кандидат медицинских наук,,
Пешехонов Кирилл Сергеевич,07.2.002.06 (Д 215.002.14),Выбор оптимального метода лечения гиперплазии предстательной железы у мужчин пожилого возраста,12.09.2022,3.1.13. Урология и андрология,Шпиленя Евгений Семенович,–,2022,кандидат медицинских наук,,
Пелешок Андрей Степанович,07.2.002.06 (Д 215.002.14),Хирургическое лечение острой патологии грудной аорты,12.09.2022,3.1.15. Сердечно–сосудистая хирургия,Хубулава Геннадий Григорьевич,–,2022,доктор медицинских наук,,
Качнов Василий Александрович,07.2.002.03 (Д 215.002.06),Внезапная сердечная смерть у лиц молодого и среднего возраста: состояние проблемы и формирование комплексного подхода в ее профилактике,19.09.2022,3.1.20. Кардиология,Тыренко Вадим Витальевич,–,2022,доктор медицинских наук,,
Рожков Денис Евгеньевич,07.2.002.03 (Д 215.002.06),Оценка эффективности гиполипидемической терапии и возможностей для ее оптимизации у пациентов с очень высоким риском сердечно–сосудистых заболеваний,19.09.2022,3.1.20. Кардиология,Тыренко Вадим Витальевич,–,2022,кандидат медицинских наук,,
Гусарина Елена Ивановна,07.2.002.05 (Д 215.002.09),Диагностика и лечение заболеваний пародонта у пациентов с зубочелюстными аномалиями (клинико–лучевое исследование),19.09.2022,3.1.7. Стоматология 3.1.25. Лучевая диагностика,Бородулина Ирина Ивановна,Зубарева Анна Анатольевна,2022,кандидат медицинских наук,,
Трухан Алексей Петрович,07.2.002.06 (Д 215.002.14),"Огнестрельные ранения и взрывная травма мирного времени. Особенности, организация и оказание хирургической помощи (клинико–экспериментальное исследование)",19.09.2022,3.1.9. Хирургия,Самохвалов Игорь Маркеллович,–,2022,доктор медицинских наук,,
Яковлева Виктория Алексеевна,07.2.002.07,Послеоперационная мозговая дисфункция при хирургическом лечении злокачественных новообразований груди и живота,20.09.2022,3.1.24. Неврология,Цыган Николай Васильевич,–,2022,кандидат медицинских наук,,
Нажмудинов Рамазан Загиргаджиевич,07.2.002.07,Прогностическая значимость клинико–электрофизиологических предикторов эффективности консервативной терапии синдрома карпального канала,20.09.2022,3.1.24. Неврология,Литвиненко Игорь Вячеславович,–,2022,кандидат медицинских наук,,
Рутковская Наталья Сергеевна,07.2.002.07,Особенности раннего постсуицидального периода у пациентов психиатрического стационара,20.09.2022,3.1.17. Психиатрия и наркология,Шамрей Владислав Казимирович,–,2022,кандидат медицинских наук,,
Базаров Иван Сергеевич,07.2.002.02 (Д 215.002.02),Анатомическое обоснование реконструктивно–пластических операций при повреждении малоберцовой коллатеральной связки коленного сустава,26.09.2022,"3.3.1. Анатомия человека, 3.1.8. Травматология и ортопедия",Гайворонский Иван Васильевич,Кудяшев Алексей Леонидович,2022,кандидат медицинских наук,,
Павлов Антон Леонидович,07.2.002.06 (Д 215.002.14),Значение цитокинов в диагностике пиелонефритов и циститов,03.10.2022,3.1.13. Урология и андрология,Кореньков Дмитрий Георгиевич,–,2022,кандидат медицинских наук,,
Паронников Михаил Валериевич,07.2.002.06 (Д 215.002.14),Обоснование системы медицинской помощи пациентам с мочекаменной болезнью в Вооруженных Силах Российской Федерации,03.10.2022,"3.1.13. Урология и андрология 3.2.3. Общественное здоровье и организация здравоохранения, социология и история медицины",Протощак Владимир Владимирович,Крюков Евгений Владимирович,2022,доктор медицинских наук,,
Бычков Евгений Рудольфович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Молекулярная фармакология противопаркинсонических средств,04.10.2022,"3.3.6. Фармакология, клиническая фармакология",Шабанов Петр Дмитриевич,–,2022,доктор медицинских наук,,
Магаррамова Лейла Араслан кызы,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Экспериментальное изучение эмоциогенных эффектов пептидов группы кисспептина,04.10.2022,"3.3.6. Фармакология, клиническая фармакология",Шабанов Петр Дмитриевич,–,2022,кандидат медицинских наук,,
Туктаров Артур Марсович,07.2.002.03 (Д 215.002.06),Роль маркеров артериальной жесткости в оценке раннего сосудистого старения у пациентов с низким и умеренным сердечно–сосудистым риском,17.10.2022,3.1.20. Кардиология,Филиппов Александр Евгеньевич,–,2022,кандидат медицинских наук,,
Чугунов Александр Алексеевич,07.2.002.03 (Д 215.002.06),Влияние глюкокортикоидов на течение коронавирусных пневмоний (СOVID–19) и содержание в крови постинфекционных нейтрализующих IgG–антител,17.10.2022,3.1.18. Внутренние болезни,Салухов Владимир Владимирович,–,2022,кандидат медицинских наук,,
Спицын Максим Игоревич,07.2.002.07,Навигационные технологии в лечении пострадавших с тяжелой сочетанной нейротравмой,18.10.2022,3.1.10. Нейрохирургия 3.1.9. Хирургия,Мартынов Борис Владимирович,Бадалов Вадим Измайлович,2022,кандидат медицинских наук,,
Кашин Василий Андреевич,07.2.002.07,Транспедикулярная имплантация винтов в шейном отделе позвоночника с помощью индивидуальных навигационных 3D–матриц,18.10.2022,3.1.10. Нейрохирургия,Черебилло Владислав Юрьевич,–,2022,кандидат медицинских наук,,
Афендиков Николай Викторович,07.2.002.03 (Д 215.002.06),Особенности атеросклеротического поражения коронарных артерий и продольной деформации миокарда левого желудочка у пациентов со стабильным и нестабильным течением ишемической болезни сердца,14.11.2022,3.1.20. Кардиология,Кучмин Алексей Николаевич,–,2022,кандидат медицинских наук,,адъюнкт
Ратникова Анна Константиновна,07.2.002.03 (Д 215.002.06),"Гастроэнтерологические проявления у пациентов с новой коронавирусной инфекцией COVID–19. Особенности клинической картины, диагностики и лечения",14.11.2022,3.1.18. Внутренние болезни 3.1.22. Инфекционные болезни,Гриневич Владимир Борисович,Козлов Константин Вадимович,2022,кандидат медицинских наук,,
Чернов Вячеслав Сергеевич,07.2.002.01 (Д 215.002.01),Клинико–лабораторная и эпидемиологическая характеристика хронического гепатита С у женщин молодого возраста,21.11.2022,3.1.22. Инфекционные болезни,Козлов Константин Вадимович,–,2022,кандидат медицинских наук,,
Мухтаров Руслан Маратович,07.2.002.01 (Д 215.002.01),Клинико–экспериментальное обоснование диагностики и лечения печеночной энцефалопатии у больных хроническим вирусным гепатитом С,21.11.2022,3.1.22. Инфекционные болезни,Жданов Константин Валерьевич,–,2022,кандидат медицинских наук,,
Стулова Мария Владимировна,07.2.002.01 (Д 215.002.01),Клинико–лабораторные и инструментальные особенности у больных геморрагической лихорадкой с почечным синдромом при формировании хронической болезни почек,21.11.2022,3.1.22. Инфекционные болезни,Константинов Дмитрий Юрьевич,–,2022,кандидат медицинских наук,,
Захарова Оксана Валерьевна,07.2.002.07,"Биопсихосоциальный анализ психических расстройств у заемщиков кредитов, обратившихся за психиатрической помощью",29.11.2022,3.1.17. Психиатрия и наркология,Карпов Анатолий Михайлович,–,2022,кандидат медицинских наук,,
Подсвиров Виктор Иванович,07.2.002.05 (Д 215.002.09),Исследование функциональной активности небных миндалин у больных хроническим тонзиллитом и острым аппендицитом,12.12.2022,3.1.3. Оториноларингология,Миронов Василий Геннадьевич,–,2022,кандидат медицинских наук,,
Гришин Максим Сергеевич,07.2.002.06 (Д 215.002.14),Обоснование применения местного гемостатического средства на основе хитозана и внешней компрессии для остановки внутрибрюшного кровотечения (экспериментальное исследование),12.12.2022,3.1.9. Хирургия,Самохвалов Игорь Маркеллович,–,2022,кандидат медицинских наук,,адъюнкт
Жевлаков Андрей Андреевич,07.2.002.05 (Д 215.002.09),Диагностика и лечение парадентальной кисты,12.12.2022,3.1.7. Стоматология,Бородулина Ирина Ивановна,–,2022,кандидат медицинских наук,,
Кузнецов Андрей Игоревич,07.2.002.06 (Д 215.002.14),Выбор оптимального варианта устранения механической желтухи опухолевого генеза,12.12.2022,3.1.9. Хирургия,Ромащенко Павел Николаевич,–,2022,кандидат медицинских наук,,
Туранов Олег Александрович,07.2.002.02 (Д 215.002.02),Оптимизация постмортального определения ведущей руки с использованием отдельных прижизненных параметров стоматологического статуса,12.12.2022,3.3.5. Судебная медицина 3.1.7. Стоматология,Авходиев Газиз Ибрагимович,Писаревский Юрий Леонидович,2022,кандидат медицинских наук,,
Нефедова Елена Олеговна,07.2.002.01 (Д 215.002.01),Медицинская реабилитация больных ишемической болезнью сердца с ампутацией нижних конечностей,12.12.2022,"3.1.33. Восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия 3.1.18. Внутренние болезни",Пономаренко Геннадий Николаевич,Кантемирова Раиса Кантемировна,2022,кандидат медицинских наук,,
Новикова Анастасия Федоровна,07.2.002.01 (Д 215.002.01),Патогенетические особенности формирования и прогнозирования метаболического синдрома у больных хроническим гепатитом С,12.12.2022,3.1.22. Инфекционные болезни,Константинов Дмитрий Юрьевич,–,2022,кандидат медицинских наук,,
Евсикова Ирина Александровна,07.2.002.03 (Д 215.002.06),Структурно–функциональная характеристика миокарда и показатели легочной гипертензии у лиц молодого возраста при саркоидозе,20.12.2022,3.1.18. Внутренние болезни,Бартош–Зеленая Светлана Юрьевна,–,2022,кандидат медицинских наук,,
Мирзаметов Саидмирзе Джамирзоевич,07.2.002.07,Неудовлетворительные исходы микрохирургической и эндоскопической поясничной дискэктомии: анализ причин и прогноз,20.12.2022,3.1.10. Нейрохирургия,Орлов Владимир Петрович,–,2022,кандидат медицинских наук,,
Иволгин Александр Федорович,07.2.002.07,Особенности послеоперационной мозговой дисфункции при каротидной эндартерэктомии,20.12.2022,3.1.24. Неврология,Литвиненко Игорь Вячеславович,–,2022,кандидат медицинских наук,,
Петранков Кирилл Владимирович,07.2.002.03 (Д 215.002.06),Прогностические критерии развития сахарного диабета 2 типа у военнослужащих,20.12.2022,3.1.19. Эндокринология,Салухов Владимир Владимирович,,2022,кандидат медицинских наук,,
Барсукова Дарья Николаевна,07.2.002.01 (Д 215.002.01),"Клинико–эпидемиологические и патогенетические аспекты инфекций, экологически связанных с иксодовыми клещами",16.01.2023,3.1.22. Инфекционные болезни,Конькова–Рейдман Алена Борисовна,–,2023,кандидат медицинских наук,,
Мальцев Иван Сергеевич,07.2.002.01 (Д 215.002.01),Медицинская реабилитация пациентов со спинальной мышечной атрофией,16.01.2023,"3.1.33. Восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия 3.1.8. Травматология и ортопедия",Пономаренко Геннадий Николаевич,Кольцов Андрей Анатольевич,2023,кандидат медицинских наук,,
Курнухина Мария Юрьевна,07.2.002.07,Влияние оперативного лечения на качество жизни и интеллектуально–мнестическую функцию больных с новообразованиями головного мозга,17.01.2023,3.1.10. Нейрохирургия,Черебилло Владислав Юрьевич,–,2023,кандидат медицинских наук,,
Парцерняк Александр Сергеевич,07.2.002.08,Преждевременное старение у лиц с полиморбидной сердечно–сосудистой патологией: патогенетические и клинические аспекты,14.02.2023,3.3.3. Патологическая физиология 3.1.18. Внутренние болезни,Цыган Василий Николаевич,Крюков Евгений Владимирович,2023,доктор медицинских наук,,
Горнов Виталий Валерьевич,07.2.002.08,"Факторы риска развития гипертонической болезни у лётного состава Воздушно–космических сил России, её ранняя диагностика и профилактика",14.02.2023,"3.3.7.Авиационная, космическая и морская медицина 3.1.20. Кардиология",Благинин Андрей Александрович,Макиев Руслан Гайозович,2023,кандидат медицинских наук,,
Ермилова Евгения Валерьевна,07.2.002.08,Клинико–патофизиологическая характеристика реабилитации после эндопротезирования молочных желез,14.03.2023,3.3.3. Патологическая физиология,Зиновьев Евгений Владимирович,–,2023,кандидат медицинских наук,,
Успенская Юлия Константиновна,07.2.002.01 (Д 215.002.01),Персонализация методов лечебной физкультуры в медицинской реабилитации детей раннего возраста с муковисцидозом,20.03.2023,"3.1.33. Восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия",Матвеев Сергей Владимирович,–,2023,кандидат медицинских наук,,
Шихвердиев Низам Назимович,07.2.002.03 (Д 215.002.06),Особенности оценки хронической сердечной недостаточности в отдаленном периоде протезирования аортального клапана по поводу аортального стеноза,20.03.2023,3.1.18. Внутренние болезни,Гордиенко Александр Волеславович,–,2023,кандидат медицинских наук,,
Адаменко Валерий Николаевич,07.2.002.06 (Д 215.002.14),Разработка средств для устранения последствий ранения живота с эвентрацией и алгоритмов их применения (клинико–экспериментальное исследование),27.03.2023,3.1.9. Хирургия,Головко Константин Петрович,–,2023,кандидат медицинских наук,,
Жилин Андрей Андреевич,07.2.002.08,Патофизиологическое обоснование выбора методов местного лечения дермальных ожоговых поражений,11.04.2023,3.3.3. Патологическая физиология 3.1.9. Хирургия,Зиновьев Евгений Владимирович,Крайнюков Павел Евгеньевич,2023,кандидат медицинских наук,,
Резник Виталий Анатольевич,07.2.002.08,"Клинико–патофизиологическая характеристика, прогнозирование, ранняя диагностика и лечение преэклампсии",11.04.2023,"3.3.3. Патологическая физиология, 3.1.4. Акушерство и гинекология",Багров Алексей Яковлевич,Тапильская Наталья Игоревна,2023,доктор медицинских наук,,
Кадырлеев Роман Андреевич,07.2.002.10,Возможности мультипараметрического ультразвукового исследования в диагностике образований почек,14.04.2023,3.1.25. Лучевая диагностика,Багненко Сергей Сергеевич,–,2023,кандидат медицинских наук,,
Жирков Игорь Иванович,07.2.002.03 (Д 215.002.06),Хронические диффузные заболевания печени невирусной этиологии у военнослужащих,17.04.2023,3.1.18. Внутренние болезни,Гордиенко Александр Волеславович,–,2023,доктор медицинских наук,,
Абрамова Инна Михайловна,07.2.002.03 (Д 215.002.06),Особенности тиреоидного статуса у пациентов с хронической болезнью почек,17.04.2023,3.1.19. Эндокринология,Волкова Анна Ральфовна,–,2023,кандидат медицинских наук,,
Коцоева Оланна Таймуразовна,07.2.002.03 (Д 215.002.06),"Отдаленные результаты медикаментозного и хирургического лечения пациентов с тяжелой хронической сердечной недостаточностью, принципы алгоритмизированного выбора терапии",15.05.2023,3.1.20. Кардиология,Тыренко Вадим Витальевич,–,2023,доктор медицинских наук,,
Рыжова Дарья Валерьевна,07.2.002.05 (Д 215.002.09),Клиническое обоснование применения оптических средств в стоматологической практике,15.05.2023,3.1.7. Стоматология,Фадеев Роман Александрович,–,2023,кандидат медицинских наук,,
Шиманьски Даниэль Анджеевич,07.2.002.03 (Д 215.002.06),Вазомоторная дисфункция и маркеры повреждения гликокаликса эндотелия при ревматоидном артрите,15.05.2023,3.1.18. Внутренние болезни 3.3.3. Патологическая физиология,Нестерович Ирина Ивановна,Власов Тимур Дмитриевич,2023,кандидат медицинских наук,,
Бурыгина Екатерина Васильевна,07.2.002.01 (Д 215.002.01),Клинико–иммунологическая характеристика и методы диагностики аутоиммунной формы хронической крапивницы,15.05.2023,3.1.23. Дерматовенерология 3.2.7. Аллергология и иммунология,Разнатовский Константин Игоревич,Козлова Яна Игоревна,2023,кандидат медицинских наук,,
Касьяненко Кристина,07.2.002.01 (Д 215.002.01),"Прогнозирование течения инфекции, вызванной SARS–CoV–2, у лиц молодого возраста с использованием искусственного интеллекта",15.05.2023,3.1.22. Инфекционные болезни,Козлов Константин Вадимович,–,2023,кандидат медицинских наук,,
Манашева Елизавета Борисовна,07.2.002.01 (Д 215.002.01),Нейросифилис у ВИЧ–инфицированных пациентов: клинико–эпидемиологические характеристики и особенности диагностики,15.05.2023,3.1.23. Дерматовенерология,Красносельских Татьяна Валерьевна,–,2023,кандидат медицинских наук,,
Гарюткина Любовь Валерьевна,07.2.002.02 (Д 215.002.02),"Ограниченная склеродермия. Клинико–морфологические, иммунологические и иммуногистохимические особенности",22.05.2023,3.3.2. Патологическая анатомия; 3.1.23. Дерматовенерология,Сыдиков Акмал Абдикахарович,Засланский Денис Владимирович,2023,кандидат медицинских наук,,
Кошевая Елена Григорьевна,07.2.002.02 (Д 215.002.02),Морфологическая характеристика лёгочной артерии и её ветвей при лёгочной артериальной гипертензии (клинико–экспериментальное исследование),22.05.2023,3.3.2. Патологическая анатомия,Митрофанова Любовь Борисовна,–,2023,кандидат медицинских наук,,
Жеребцов Евгений Сергеевич,07.2.002.06 (Д 215.002.14),Современные технологии диагностики и лечения в профилактике резидуального холедохолитиаза,05.06.2023,3.1.9. Хирургия,Ромащенко Павел Николаевич,–,2023,кандидат медицинских наук,,
Кулемин Евгений Сергеевич,07.2.002.06 (Д 215.002.14),Защита миокарда при операциях на сердце у новорождённых и детей грудного возраста,05.06.2023,3.1.15. Сердечно–сосудистая хирургия,Марченко Сергей Павлович,–,2023,кандидат медицинских наук,,
Толстой Олег Анатольевич,07.2.002.08,Дисфункция иммунной системы и её коррекция при интенсивных физических нагрузках (экспериментально–клиническое исследование),06.06.2023,3.3.3. Патологическая физиология,Цыган Василий Николаевич,–,2023,кандидат медицинских наук,,
Шерстенникова Александра Константиновна,07.2.002.08,Роль молекул адгезии в патогенезе псориаза,06.06.2023,3.3.3. Патологическая физиология 3.1.23. Дерматовенерология,Николаев Валентин Иванович,Кашутин Сергей Леонидович,2023,доктор медицинских наук,,
Рябцев Александр Владимирович,07.2.002.07,Современные возможности диагностики и профилактики клинических типов послеоперационной мозговой дисфункции при хирургической коррекции приобретенных пороков аортального клапана,06.06.2023,3.1.24. Неврология,Литвиненко Игорь Вячеславович,–,2023,кандидат медицинских наук,,
Бельцева Юлия Андреевна,07.2.002.07,"Клинические и социально–психологические характеристики лиц пожилого возраста, страдающих психическими расстройствами, с явлениями госпитализма",06.06.2023,3.1.17. Психиатрия и наркология,Залуцкая Наталья Михайловна,–,2023,кандидат медицинских наук,,
Голованов Андрей Евгеньевич,07.2.002.05 (Д 215.002.09),Комплексная оценка и коррекция предрасположенности к болезни движения в аспекте функционального состояния вестибулярной системы,09.06.2023,3.1.3. Оториноларингология,Дворянчиков Владимир Владимирович,–,2023,доктор медицинских наук,,
Артебякин Сергей Владимирович,07.2.002.09,Эпидемиологический мониторинг сезонных воздушно–капельных инфекций в организованных воинских коллективах,16.06.2023,3.2.2. Эпидемиология,Кузин Александр Александрович,–,2023,кандидат медицинских наук,,адъюнкт
Черная Мария Евгеньевна,07.2.002.03 (Д 215.002.06),Вариабельность гликемии у пациентов с сахарным диабетом 1 типа и оптимизация инсулинотерапии методом постоянной подкожной инфузии инсулина,19.06.2023,3.1.19. Эндокринология,Волкова Анна Ральфовна,–,2023,кандидат медицинских наук,,
Аликбаев Тимур Зарифович,07.2.002.01 (Д 215.002.01),Пациент–ориентированный подход применения генно–инженерной биологической терапии в лечении среднетяжелой и тяжелой форм псориаза,19.06.2023,3.1.23. Дерматовенерология,Разнатовский Константин Игоревич,–,2023,кандидат медицинских наук,,
Сенькина Екатерина Ивановна,07.2.002.03 (Д 215.002.06),Оценка отдаленных результатов коронарного стентирования и роль сосудистого эндотелиального фактора роста–А в течении различных форм ишемической болезни сердца,19.06.2023,3.1.20. Кардиология,Тишко Валерий Владимирович,–,2023,кандидат медицинских наук,,
Исаев Джамалудин Магомедрасулович,07.2.002.02 (Д 215.002.02),Анатомическое обоснование оперативных вмешательств при повреждениях общего малоберцового нерва и основных его ветвей (анатомо–клиническое исследование),19.06.2023,3.3.1. Анатомия человека 3.1.10. Нейрохирургия,Гайворонский Иван Васильевич,Гайворонский Алексей Иванович,2023,кандидат медицинских наук,,
Кулагина Анастасия Павловна,07.2.002.01 (Д 215.002.01),"Молекулярно–генетическая, эпидемиологическая и клинико–лабораторная характеристика острых форм иксодовых клещевых боррелиозов, ближайшие и отдаленные исходы болезни",19.06.2023,3.1.22. Инфекционные болезни,Суздальцев Алексей Александрович,–,2023,кандидат медицинских наук,,
Данг Куок Гуй,07.2.002.08,Психофизиологическое обоснование методики подготовки к полетам с пилотажными перегрузками летчиков Социалистической Республики Вьетнам,20.06.2023,"3.3.7. Авиационная, космическая и морская медицина",Благинин Андрей Александрович,–,2023,кандидат медицинских наук,,адъюнкт
Блаженко Александра Александровна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Действие гормональных препаратов на нейропептидные системы Danio rerio в условиях стресса,12.09.2023,"3.3.6. Фармакология, клиническая фармакология",Шабанов Петр Дмитриевич,–,2023,кандидат медицинских наук,,
